{6D809377-6AF0-444B-8957-A3773F02200E}\Wireshark\npcap-1.31.exe,29,0,,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{6D809377-6AF0-444B-8957-A3773F02200E}\Wireshark\Wireshark.exe,31,1,6/30/2021 1:25:08 AM,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{9E3995AB-1F9C-4F13-B827-48B24B6C7174}\TaskBar\File Explorer (4).lnk,60,2,5/12/2017 12:29:42 AM,{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}
{9E3995AB-1F9C-4F13-B827-48B24B6C7174}\TaskBar\File Explorer (6).lnk,62,6,6/15/2017 7:16:29 PM,{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}
{9E3995AB-1F9C-4F13-B827-48B24B6C7174}\TaskBar\File Explorer (7).lnk,64,12,7/26/2021 6:20:33 PM,{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}
{9E3995AB-1F9C-4F13-B827-48B24B6C7174}\TaskBar\Firefox.lnk,69,3,7/20/2021 10:53:24 PM,{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}
{9E3995AB-1F9C-4F13-B827-48B24B6C7174}\TaskBar\Internet Explorer (7).lnk,65,5,7/2/2021 12:11:12 AM,{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\Accessories\Notepad.lnk,58,2,11/15/2016 9:40:27 AM,{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\Startup\nssm.exe,50,2,7/20/2021 1:45:27 AM,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\System Tools\Command Prompt.lnk,63,8,7/26/2021 6:23:21 PM,{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\System Tools\Control Panel.lnk,61,2,5/19/2017 8:56:37 PM,{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\Visual Studio Code\Visual Studio Code.lnk,70,1,7/15/2021 11:28:13 PM,{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\Windows PowerShell\Windows PowerShell.lnk,59,7,7/20/2021 2:01:30 AM,{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}
{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\mshta.exe,47,1,7/20/2021 12:58:03 AM,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{F38BF404-1D43-42F2-9305-67DE0B28FC23}\hh.exe,46,2,7/20/2021 12:53:25 AM,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{F38BF404-1D43-42F2-9305-67DE0B28FC23}\Microsoft.NET\Framework\v4.0.30319\ngen.exe,3,0,,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{F38BF404-1D43-42F2-9305-67DE0B28FC23}\regedit.exe,13,1,5/19/2017 8:25:24 PM,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{F38BF404-1D43-42F2-9305-67DE0B28FC23}\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe,9,0,,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
{F38BF404-1D43-42F2-9305-67DE0B28FC23}\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,11,0,,{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}
