system_time,id,detection_rules,computer_name,Event.EventData.Details,target_object
2021-07-20 01:42:50,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Users\Administrat
or\AppData\Roaming\Microsoft\Windows\Sta
rt Menu\Programs\Startup\nssm.exe"
2021-07-20 01:44:12,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Users\Administrat
or\AppData\Roaming\Microsoft\Windows\Sta
rt Menu\Programs\Startup\nssm.exe"
2021-07-20 02:01:33,13,+ New Application in AppCompat,"""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Windows NT\
CurrentVersion\AppCompatFlags\Compatibil
ity Assistant\Store\C:\Users\Administrat
or\AppData\Roaming\Microsoft\Windows\Sta
rt Menu\Programs\Startup\nssm.exe"
2021-07-20 21:56:26,13,"+ Usage of Sysinternals
Tools","""EC2AMAZ-C831NP5.avengers.local""",DWORD (0x00000001),"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Sysinternals\PsExec\E
ulaAccepted"
2021-07-20 21:57:42,13,"+ Usage of Sysinternals
Tools","""EC2AMAZ-C831NP5.avengers.local""",DWORD (0x00000001),"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Sysinternals\PsExec\E
ulaAccepted"
2021-07-20 21:58:16,13,"+ Usage of Sysinternals
Tools","""EC2AMAZ-C831NP5.avengers.local""",DWORD (0x00000001),"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Sysinternals\PsExec\E
ulaAccepted"
2021-07-20 22:53:24,13,+ Regsvr32 Network Activity,"""EC2AMAZ-C831NP5.avengers.local""","C:\Program Files\Mozilla Firefox\Accessi
bleHandler.dll","HKCR\CLSID\{DCA8D857-1A63-4045-8F36-8809
EB093D04}\InProcServer32\(Default)"
2021-07-20 22:53:24,13,+ Regsvr32 Network Activity,"""EC2AMAZ-C831NP5.avengers.local""","C:\Program Files\Mozilla Firefox\Accessi
bleMarshal.dll","HKCR\CLSID\{1814CEEB-49E2-407F-AF99-FA75
5A7D2607}\InProcServer32\(Default)"
2021-07-20 22:56:02,13,"+ Windows Registry Trust
Record Modification","""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Office\16.0
\Excel\Security\Trusted Documents\TrustR
ecords\%USERPROFILE%/Downloads/FinDoc.xl
sm"
2021-07-20 22:56:03,13,"+ Windows Registry Trust
Record Modification","""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Office\16.0
\Excel\Security\Trusted Documents\TrustR
ecords\%USERPROFILE%/Downloads/FinDoc.xl
sm"
2021-07-20 22:58:49,13,"+ Usage of Sysinternals
Tools","""EC2AMAZ-C831NP5.avengers.local""",DWORD (0x00000001),"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Sysinternals\ProcDump
\EulaAccepted"
2021-07-20 23:00:00,13,"+ Usage of Sysinternals
Tools","""EC2AMAZ-C831NP5.avengers.local""",DWORD (0x00000001),"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Sysinternals\ProcDump
\EulaAccepted"
2021-07-20 23:40:32,13,"+ Windows Registry Trust
Record Modification","""EC2AMAZ-C831NP5.avengers.local""",Binary Data,"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Microsoft\Office\16.0
\Excel\Security\Trusted Documents\TrustR
ecords\%USERPROFILE%/Downloads/FinDoc.xl
sm"
2021-07-20 23:51:52,13,"+ Usage of Sysinternals
Tools","""EC2AMAZ-C831NP5.avengers.local""",DWORD (0x00000001),"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Sysinternals\PsExec\E
ulaAccepted"
2021-07-26 18:27:47,13,"+ Usage of Sysinternals
Tools","""EC2AMAZ-C831NP5.avengers.local""",DWORD (0x00000001),"HKU\S-1-5-21-1976052002-3724303175-15995
32400-500\SOFTWARE\Sysinternals\PsInfo\E
ulaAccepted"
