system_time,id,detection_rules,computer_name,Event.EventData.TargetFilename,image
2021-06-28 00:30:36,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\async\async1
.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:36,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\async\async3
.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:36,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\async\index.
jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:36,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\cal\cal1.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:36,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\cal\cal2.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:36,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\checkbox\che
ckresult.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:36,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\colors\colrs
.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:36,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\dates\date.j
sp",C:\Windows\Explorer.EXE
2021-06-28 00:30:36,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\error\err.js
p",C:\Windows\Explorer.EXE
2021-06-28 00:30:36,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\error\errorp
ge.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:36,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\forward\forw
ard.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:36,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\forward\one.
jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:36,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\include\foo.
jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:36,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\include\incl
ude.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:37,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\jsp2\el\basi
c-arithmetic.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:37,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\jsp2\el\basi
c-comparisons.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:37,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\jsp2\el\comp
osite.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:37,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\jsp2\el\func
tions.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:37,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\jsp2\el\impl
icit-objects.jsp",C:\Windows\Explorer.EXE
2021-06-28 00:30:37,11,+ Windows Webshell Creation,"""EC2AMAZ-37OM3IA.avengers.local""","C:\Users\Administrator\Downloads\apache-
tomcat-10.0.7-windows-x64\apache-tomcat-
10.0.7\webapps\examples\jsp\jsp2\jspattr
ibute\jspattribute.jsp",C:\Windows\Explorer.EXE
